Diabetes,Gender,Smoker,Age,SBP,Total_chol,Risk
no,women,non,40-44,>=180,6-6.9,2
no,women,non,40-44,>=180,>=7,2
no,women,non,40-44,160-179,<4,1
no,women,non,40-44,160-179,4-4.9,1
no,women,non,40-44,160-179,5-5.9,1
no,women,non,40-44,160-179,6-6.9,1
no,women,non,40-44,160-179,>=7,1
no,women,non,40-44,140-159,<4,1
no,women,non,40-44,140-159,4-4.9,1
no,women,non,40-44,140-159,5-5.9,1
no,women,non,40-44,140-159,6-6.9,1
no,women,non,40-44,140-159,>=7,1
no,women,non,40-44,120-139,<4,1
no,women,non,40-44,120-139,4-4.9,1
no,women,non,40-44,120-139,5-5.9,1
no,women,non,40-44,120-139,6-6.9,1
no,women,non,40-44,120-139,>=7,1
no,women,non,40-44,<=120,<4,1
no,women,non,40-44,<=120,4-4.9,1
no,women,non,40-44,<=120,5-5.9,1
no,women,non,40-44,<=120,6-6.9,1
no,women,non,40-44,<=120,>=7,1
no,women,yes,40-44,>=180,<4,2
no,women,yes,40-44,>=180,4-4.9,2
no,women,yes,40-44,>=180,5-5.9,3
no,women,yes,40-44,>=180,6-6.9,3
no,women,yes,40-44,>=180,>=7,3
no,women,yes,40-44,160-179,<4,2
no,women,yes,40-44,160-179,4-4.9,2
no,women,yes,40-44,160-179,5-5.9,2
no,women,yes,40-44,160-179,6-6.9,2
no,women,yes,40-44,160-179,>=7,2
no,women,yes,40-44,140-159,<4,1
no,women,yes,40-44,140-159,4-4.9,2
no,women,yes,40-44,140-159,5-5.9,2
no,women,yes,40-44,140-159,6-6.9,2
no,women,yes,40-44,140-159,>=7,2
no,women,yes,40-44,120-139,<4,1
no,women,yes,40-44,120-139,4-4.9,1
no,women,yes,40-44,120-139,5-5.9,1
no,women,yes,40-44,120-139,6-6.9,1
no,women,yes,40-44,120-139,>=7,2
no,women,yes,40-44,<=120,<4,1
no,women,yes,40-44,<=120,4-4.9,1
no,women,yes,40-44,<=120,5-5.9,1
no,women,yes,40-44,<=120,6-6.9,1
no,women,yes,40-44,<=120,>=7,1
yes,men,non,70-74,>=180,<4,5
yes,men,non,70-74,>=180,4-4.9,5
yes,men,non,70-74,>=180,5-5.9,5
yes,men,non,70-74,>=180,6-6.9,5
yes,men,non,70-74,>=180,>=7,5
yes,men,non,70-74,160-179,<4,4
yes,men,non,70-74,160-179,4-4.9,4
yes,men,non,70-74,160-179,5-5.9,5
yes,men,non,70-74,160-179,6-6.9,5
yes,men,non,70-74,160-179,>=7,5
yes,men,non,70-74,140-159,<4,4
yes,men,non,70-74,140-159,4-4.9,4
yes,men,non,70-74,140-159,5-5.9,4
yes,men,non,70-74,140-159,6-6.9,4
yes,men,non,70-74,140-159,>=7,5
yes,men,non,70-74,120-139,<4,3
yes,men,non,70-74,120-139,4-4.9,3
yes,men,non,70-74,120-139,5-5.9,4
yes,men,non,70-74,120-139,6-6.9,4
yes,men,non,70-74,120-139,>=7,4
yes,men,non,70-74,<=120,<4,3
yes,men,non,70-74,<=120,4-4.9,3
yes,men,non,70-74,<=120,5-5.9,3
yes,men,non,70-74,<=120,6-6.9,3
yes,men,non,70-74,<=120,>=7,4
yes,men,yes,70-74,>=180,<4,5
yes,men,yes,70-74,>=180,4-4.9,5
yes,men,yes,70-74,>=180,5-5.9,5
yes,men,yes,70-74,>=180,6-6.9,5
yes,men,yes,70-74,>=180,>=7,5
yes,men,yes,70-74,160-179,<4,5
yes,men,yes,70-74,160-179,4-4.9,5
yes,men,yes,70-74,160-179,5-5.9,5
yes,men,yes,70-74,160-179,6-6.9,5
yes,men,yes,70-74,160-179,>=7,5
yes,men,yes,70-74,140-159,<4,4
yes,men,yes,70-74,140-159,4-4.9,5
yes,men,yes,70-74,140-159,5-5.9,5
yes,men,yes,70-74,140-159,6-6.9,5
yes,men,yes,70-74,140-159,>=7,5
yes,men,yes,70-74,120-139,<4,4
yes,men,yes,70-74,120-139,4-4.9,4
yes,men,yes,70-74,120-139,5-5.9,4
yes,men,yes,70-74,120-139,6-6.9,5
yes,men,yes,70-74,120-139,>=7,5
yes,men,yes,70-74,<=120,<4,3
yes,men,yes,70-74,<=120,4-4.9,4
yes,men,yes,70-74,<=120,5-5.9,4
yes,men,yes,70-74,<=120,6-6.9,4
yes,men,yes,70-74,<=120,>=7,4
yes,women,non,70-74,>=180,<4,4
yes,women,non,70-74,>=180,4-4.9,4
yes,women,non,70-74,>=180,5-5.9,5
yes,women,non,70-74,>=180,6-6.9,5
yes,women,non,70-74,>=180,>=7,5
yes,women,non,70-74,160-179,<4,4
yes,women,non,70-74,160-179,4-4.9,4
yes,women,non,70-74,160-179,5-5.9,4
yes,women,non,70-74,160-179,6-6.9,4
yes,women,non,70-74,160-179,>=7,4
yes,women,non,70-74,140-159,<4,4
yes,women,non,70-74,140-159,4-4.9,4
yes,women,non,70-74,140-159,5-5.9,4
yes,women,non,70-74,140-159,6-6.9,4
yes,women,non,70-74,140-159,>=7,4
yes,women,non,70-74,120-139,<4,3
yes,women,non,70-74,120-139,4-4.9,3
yes,women,non,70-74,120-139,5-5.9,3
yes,women,non,70-74,120-139,6-6.9,3
yes,women,non,70-74,120-139,>=7,4
yes,women,non,70-74,<=120,<4,3
yes,women,non,70-74,<=120,4-4.9,3
yes,women,non,70-74,<=120,5-5.9,3
yes,women,non,70-74,<=120,6-6.9,3
yes,women,non,70-74,<=120,>=7,3
yes,women,yes,70-74,>=180,<4,5
yes,women,yes,70-74,>=180,4-4.9,5
yes,women,yes,70-74,>=180,5-5.9,5
yes,women,yes,70-74,>=180,6-6.9,5
yes,women,yes,70-74,>=180,>=7,5
yes,women,yes,70-74,160-179,<4,5
yes,women,yes,70-74,160-179,4-4.9,5
yes,women,yes,70-74,160-179,5-5.9,5
yes,women,yes,70-74,160-179,6-6.9,5
yes,women,yes,70-74,160-179,>=7,5
yes,women,yes,70-74,140-159,<4,4
yes,women,yes,70-74,140-159,4-4.9,4
yes,women,yes,70-74,140-159,5-5.9,5
yes,women,yes,70-74,140-159,6-6.9,5
yes,women,yes,70-74,140-159,>=7,5
yes,women,yes,70-74,120-139,<4,4
yes,women,yes,70-74,120-139,4-4.9,4
yes,women,yes,70-74,120-139,5-5.9,4
yes,women,yes,70-74,120-139,6-6.9,4
yes,women,yes,70-74,120-139,>=7,4
yes,women,yes,70-74,<=120,<4,4
yes,women,yes,70-74,<=120,4-4.9,4
yes,women,yes,70-74,<=120,5-5.9,4
yes,women,yes,70-74,<=120,6-6.9,4
yes,women,yes,70-74,<=120,>=7,4
yes,men,non,65-69,>=180,<4,4
yes,men,non,65-69,>=180,4-4.9,5
yes,men,non,65-69,>=180,5-5.9,5
yes,men,non,65-69,>=180,6-6.9,5
yes,men,non,65-69,>=180,>=7,5
yes,men,non,65-69,160-179,<4,4
yes,men,non,65-69,160-179,4-4.9,4
yes,men,non,65-69,160-179,5-5.9,4
yes,men,non,65-69,160-179,6-6.9,5
yes,men,non,65-69,160-179,>=7,5
yes,men,non,65-69,140-159,<4,3
yes,men,non,65-69,140-159,4-4.9,3
yes,men,non,65-69,140-159,5-5.9,4
yes,men,non,65-69,140-159,6-6.9,4
yes,men,non,65-69,140-159,>=7,4
yes,men,non,65-69,120-139,<4,3
yes,men,non,65-69,120-139,4-4.9,3
yes,men,non,65-69,120-139,5-5.9,3
yes,men,non,65-69,120-139,6-6.9,3
yes,men,non,65-69,120-139,>=7,4
yes,men,non,65-69,<=120,<4,3
yes,men,non,65-69,<=120,4-4.9,3
yes,men,non,65-69,<=120,5-5.9,3
yes,men,non,65-69,<=120,6-6.9,3
yes,men,non,65-69,<=120,>=7,3
yes,men,yes,65-69,>=180,<4,5
yes,men,yes,65-69,>=180,4-4.9,5
yes,men,yes,65-69,>=180,5-5.9,5
yes,men,yes,65-69,>=180,6-6.9,5
yes,men,yes,65-69,>=180,>=7,5
yes,men,yes,65-69,160-179,<4,4
yes,men,yes,65-69,160-179,4-4.9,5
yes,men,yes,65-69,160-179,5-5.9,5
yes,men,yes,65-69,160-179,6-6.9,5
yes,men,yes,65-69,160-179,>=7,5
yes,men,yes,65-69,140-159,<4,4
yes,men,yes,65-69,140-159,4-4.9,4
yes,men,yes,65-69,140-159,5-5.9,4
yes,men,yes,65-69,140-159,6-6.9,5
yes,men,yes,65-69,140-159,>=7,5
yes,men,yes,65-69,120-139,<4,3
yes,men,yes,65-69,120-139,4-4.9,4
yes,men,yes,65-69,120-139,5-5.9,4
yes,men,yes,65-69,120-139,6-6.9,4
yes,men,yes,65-69,120-139,>=7,5
yes,men,yes,65-69,<=120,<4,3
yes,men,yes,65-69,<=120,4-4.9,3
yes,men,yes,65-69,<=120,5-5.9,3
yes,men,yes,65-69,<=120,6-6.9,4
yes,men,yes,65-69,<=120,>=7,4
yes,women,non,65-69,>=180,<4,4
yes,women,non,65-69,>=180,4-4.9,4
yes,women,non,65-69,>=180,5-5.9,4
yes,women,non,65-69,>=180,6-6.9,4
yes,women,non,65-69,>=180,>=7,4
yes,women,non,65-69,160-179,<4,3
yes,women,non,65-69,160-179,4-4.9,4
yes,women,non,65-69,160-179,5-5.9,4
yes,women,non,65-69,160-179,6-6.9,4
yes,women,non,65-69,160-179,>=7,4
yes,women,non,65-69,140-159,<4,3
yes,women,non,65-69,140-159,4-4.9,3
yes,women,non,65-69,140-159,5-5.9,3
yes,women,non,65-69,140-159,6-6.9,3
yes,women,non,65-69,140-159,>=7,3
yes,women,non,65-69,120-139,<4,3
yes,women,non,65-69,120-139,4-4.9,3
yes,women,non,65-69,120-139,5-5.9,3
yes,women,non,65-69,120-139,6-6.9,3
yes,women,non,65-69,120-139,>=7,3
yes,women,non,65-69,<=120,<4,3
yes,women,non,65-69,<=120,4-4.9,3
yes,women,non,65-69,<=120,5-5.9,3
yes,women,non,65-69,<=120,6-6.9,3
yes,women,non,65-69,<=120,>=7,3
yes,women,yes,65-69,>=180,<4,5
yes,women,yes,65-69,>=180,4-4.9,5
yes,women,yes,65-69,>=180,5-5.9,5
yes,women,yes,65-69,>=180,6-6.9,5
yes,women,yes,65-69,>=180,>=7,5
yes,women,yes,65-69,160-179,<4,4
yes,women,yes,65-69,160-179,4-4.9,5
yes,women,yes,65-69,160-179,5-5.9,5
yes,women,yes,65-69,160-179,6-6.9,5
yes,women,yes,65-69,160-179,>=7,5
yes,women,yes,65-69,140-159,<4,4
yes,women,yes,65-69,140-159,4-4.9,4
yes,women,yes,65-69,140-159,5-5.9,4
yes,women,yes,65-69,140-159,6-6.9,4
yes,women,yes,65-69,140-159,>=7,5
yes,women,yes,65-69,120-139,<4,4
yes,women,yes,65-69,120-139,4-4.9,4
yes,women,yes,65-69,120-139,5-5.9,4
yes,women,yes,65-69,120-139,6-6.9,4
yes,women,yes,65-69,120-139,>=7,4
yes,women,yes,65-69,<=120,<4,3
yes,women,yes,65-69,<=120,4-4.9,3
yes,women,yes,65-69,<=120,5-5.9,3
yes,women,yes,65-69,<=120,6-6.9,3
yes,women,yes,65-69,<=120,>=7,4
yes,men,non,60-64,>=180,<4,4
yes,men,non,60-64,>=180,4-4.9,4
yes,men,non,60-64,>=180,5-5.9,4
yes,men,non,60-64,>=180,6-6.9,5
yes,men,non,60-64,>=180,>=7,5
yes,men,non,60-64,160-179,<4,3
yes,men,non,60-64,160-179,4-4.9,3
yes,men,non,60-64,160-179,5-5.9,4
yes,men,non,60-64,160-179,6-6.9,4
yes,men,non,60-64,160-179,>=7,4
yes,men,non,60-64,140-159,<4,3
yes,men,non,60-64,140-159,4-4.9,3
yes,men,non,60-64,140-159,5-5.9,3
yes,men,non,60-64,140-159,6-6.9,3
yes,men,non,60-64,140-159,>=7,4
yes,men,non,60-64,120-139,<4,3
yes,men,non,60-64,120-139,4-4.9,3
yes,men,non,60-64,120-139,5-5.9,3
yes,men,non,60-64,120-139,6-6.9,3
yes,men,non,60-64,120-139,>=7,3
yes,men,non,60-64,<=120,<4,2
yes,men,non,60-64,<=120,4-4.9,2
yes,men,non,60-64,<=120,5-5.9,3
yes,men,non,60-64,<=120,6-6.9,3
yes,men,non,60-64,<=120,>=7,3
yes,men,yes,60-64,>=180,<4,5
yes,men,yes,60-64,>=180,4-4.9,5
yes,men,yes,60-64,>=180,5-5.9,5
yes,men,yes,60-64,>=180,6-6.9,5
yes,men,yes,60-64,>=180,>=7,5
yes,men,yes,60-64,160-179,<4,4
yes,men,yes,60-64,160-179,4-4.9,4
yes,men,yes,60-64,160-179,5-5.9,5
yes,men,yes,60-64,160-179,6-6.9,5
yes,men,yes,60-64,160-179,>=7,5
yes,men,yes,60-64,140-159,<4,4
yes,men,yes,60-64,140-159,4-4.9,4
yes,men,yes,60-64,140-159,5-5.9,4
yes,men,yes,60-64,140-159,6-6.9,4
yes,men,yes,60-64,140-159,>=7,5
yes,men,yes,60-64,120-139,<4,3
yes,men,yes,60-64,120-139,4-4.9,3
yes,men,yes,60-64,120-139,5-5.9,3
yes,men,yes,60-64,120-139,6-6.9,4
yes,men,yes,60-64,120-139,>=7,4
yes,men,yes,60-64,<=120,<4,3
yes,men,yes,60-64,<=120,4-4.9,3
yes,men,yes,60-64,<=120,5-5.9,3
yes,men,yes,60-64,<=120,6-6.9,3
yes,men,yes,60-64,<=120,>=7,4
yes,women,non,60-64,>=180,<4,3
yes,women,non,60-64,>=180,4-4.9,4
yes,women,non,60-64,>=180,5-5.9,4
yes,women,non,60-64,>=180,6-6.9,4
yes,women,non,60-64,>=180,>=7,4
yes,women,non,60-64,160-179,<4,3
yes,women,non,60-64,160-179,4-4.9,3
yes,women,non,60-64,160-179,5-5.9,3
yes,women,non,60-64,160-179,6-6.9,3
yes,women,non,60-64,160-179,>=7,4
yes,women,non,60-64,140-159,<4,3
yes,women,non,60-64,140-159,4-4.9,3
yes,women,non,60-64,140-159,5-5.9,3
yes,women,non,60-64,140-159,6-6.9,3
yes,women,non,60-64,140-159,>=7,3
yes,women,non,60-64,120-139,<4,3
yes,women,non,60-64,120-139,4-4.9,3
yes,women,non,60-64,120-139,5-5.9,3
yes,women,non,60-64,120-139,6-6.9,3
yes,women,non,60-64,120-139,>=7,3
yes,women,non,60-64,<=120,<4,2
yes,women,non,60-64,<=120,4-4.9,2
yes,women,non,60-64,<=120,5-5.9,2
yes,women,non,60-64,<=120,6-6.9,2
yes,women,non,60-64,<=120,>=7,3
yes,women,yes,60-64,>=180,<4,5
yes,women,yes,60-64,>=180,4-4.9,5
yes,women,yes,60-64,>=180,5-5.9,5
yes,women,yes,60-64,>=180,6-6.9,5
yes,women,yes,60-64,>=180,>=7,5
yes,women,yes,60-64,160-179,<4,4
yes,women,yes,60-64,160-179,4-4.9,4
yes,women,yes,60-64,160-179,5-5.9,4
yes,women,yes,60-64,160-179,6-6.9,5
yes,women,yes,60-64,160-179,>=7,5
yes,women,yes,60-64,140-159,<4,4
yes,women,yes,60-64,140-159,4-4.9,4
yes,women,yes,60-64,140-159,5-5.9,4
yes,women,yes,60-64,140-159,6-6.9,4
yes,women,yes,60-64,140-159,>=7,4
yes,women,yes,60-64,120-139,<4,3
yes,women,yes,60-64,120-139,4-4.9,3
yes,women,yes,60-64,120-139,5-5.9,3
yes,women,yes,60-64,120-139,6-6.9,4
yes,women,yes,60-64,120-139,>=7,4
yes,women,yes,60-64,<=120,<4,3
yes,women,yes,60-64,<=120,4-4.9,3
yes,women,yes,60-64,<=120,5-5.9,3
yes,women,yes,60-64,<=120,6-6.9,3
yes,women,yes,60-64,<=120,>=7,3
yes,men,non,55-59,>=180,<4,3
yes,men,non,55-59,>=180,4-4.9,4
yes,men,non,55-59,>=180,5-5.9,4
yes,men,non,55-59,>=180,6-6.9,4
yes,men,non,55-59,>=180,>=7,5
yes,men,non,55-59,160-179,<4,3
yes,men,non,55-59,160-179,4-4.9,3
yes,men,non,55-59,160-179,5-5.9,3
yes,men,non,55-59,160-179,6-6.9,4
yes,men,non,55-59,160-179,>=7,4
yes,men,non,55-59,140-159,<4,3
yes,men,non,55-59,140-159,4-4.9,3
yes,men,non,55-59,140-159,5-5.9,3
yes,men,non,55-59,140-159,6-6.9,3
yes,men,non,55-59,140-159,>=7,3
yes,men,non,55-59,120-139,<4,2
yes,men,non,55-59,120-139,4-4.9,2
yes,men,non,55-59,120-139,5-5.9,3
yes,men,non,55-59,120-139,6-6.9,3
yes,men,non,55-59,120-139,>=7,3
yes,men,non,55-59,<=120,<4,2
yes,men,non,55-59,<=120,4-4.9,2
yes,men,non,55-59,<=120,5-5.9,2
yes,men,non,55-59,<=120,6-6.9,2
yes,men,non,55-59,<=120,>=7,3
yes,men,yes,55-59,>=180,<4,4
yes,men,yes,55-59,>=180,4-4.9,5
yes,men,yes,55-59,>=180,5-5.9,5
yes,men,yes,55-59,>=180,6-6.9,5
yes,men,yes,55-59,>=180,>=7,5
yes,men,yes,55-59,160-179,<4,4
yes,men,yes,55-59,160-179,4-4.9,4
yes,men,yes,55-59,160-179,5-5.9,4
yes,men,yes,55-59,160-179,6-6.9,5
yes,men,yes,55-59,160-179,>=7,5
yes,men,yes,55-59,140-159,<4,3
yes,men,yes,55-59,140-159,4-4.9,3
yes,men,yes,55-59,140-159,5-5.9,4
yes,men,yes,55-59,140-159,6-6.9,4
yes,men,yes,55-59,140-159,>=7,4
yes,men,yes,55-59,120-139,<4,3
yes,men,yes,55-59,120-139,4-4.9,3
yes,men,yes,55-59,120-139,5-5.9,3
yes,men,yes,55-59,120-139,6-6.9,3
yes,men,yes,55-59,120-139,>=7,4
yes,men,yes,55-59,<=120,<4,2
yes,men,yes,55-59,<=120,4-4.9,3
yes,men,yes,55-59,<=120,5-5.9,3
yes,men,yes,55-59,<=120,6-6.9,3
yes,men,yes,55-59,<=120,>=7,3
yes,women,non,55-59,>=180,<4,3
yes,women,non,55-59,>=180,4-4.9,3
yes,women,non,55-59,>=180,5-5.9,3
yes,women,non,55-59,>=180,6-6.9,3
yes,women,non,55-59,>=180,>=7,4
yes,women,non,55-59,160-179,<4,3
yes,women,non,55-59,160-179,4-4.9,3
yes,women,non,55-59,160-179,5-5.9,3
yes,women,non,55-59,160-179,6-6.9,3
yes,women,non,55-59,160-179,>=7,3
yes,women,non,55-59,140-159,<4,2
yes,women,non,55-59,140-159,4-4.9,3
yes,women,non,55-59,140-159,5-5.9,3
yes,women,non,55-59,140-159,6-6.9,3
yes,women,non,55-59,140-159,>=7,3
yes,women,non,55-59,120-139,<4,2
yes,women,non,55-59,120-139,4-4.9,2
yes,women,non,55-59,120-139,5-5.9,2
yes,women,non,55-59,120-139,6-6.9,2
yes,women,non,55-59,120-139,>=7,3
yes,women,non,55-59,<=120,<4,2
yes,women,non,55-59,<=120,4-4.9,2
yes,women,non,55-59,<=120,5-5.9,2
yes,women,non,55-59,<=120,6-6.9,2
yes,women,non,55-59,<=120,>=7,2
yes,women,yes,55-59,>=180,<4,4
yes,women,yes,55-59,>=180,4-4.9,4
yes,women,yes,55-59,>=180,5-5.9,5
yes,women,yes,55-59,>=180,6-6.9,5
yes,women,yes,55-59,>=180,>=7,5
yes,women,yes,55-59,160-179,<4,4
yes,women,yes,55-59,160-179,4-4.9,4
yes,women,yes,55-59,160-179,5-5.9,4
yes,women,yes,55-59,160-179,6-6.9,4
yes,women,yes,55-59,160-179,>=7,5
yes,women,yes,55-59,140-159,<4,3
yes,women,yes,55-59,140-159,4-4.9,3
yes,women,yes,55-59,140-159,5-5.9,4
yes,women,yes,55-59,140-159,6-6.9,4
yes,women,yes,55-59,140-159,>=7,4
yes,women,yes,55-59,120-139,<4,3
yes,women,yes,55-59,120-139,4-4.9,3
yes,women,yes,55-59,120-139,5-5.9,3
yes,women,yes,55-59,120-139,6-6.9,3
yes,women,yes,55-59,120-139,>=7,3
yes,women,yes,55-59,<=120,<4,3
yes,women,yes,55-59,<=120,4-4.9,3
yes,women,yes,55-59,<=120,5-5.9,3
yes,women,yes,55-59,<=120,6-6.9,3
yes,women,yes,55-59,<=120,>=7,3
yes,men,non,50-54,>=180,<4,3
yes,men,non,50-54,>=180,4-4.9,3
yes,men,non,50-54,>=180,5-5.9,3
yes,men,non,50-54,>=180,6-6.9,4
yes,men,non,50-54,>=180,>=7,4
yes,men,non,50-54,160-179,<4,3
yes,men,non,50-54,160-179,4-4.9,3
yes,men,non,50-54,160-179,5-5.9,3
yes,men,non,50-54,160-179,6-6.9,3
yes,men,non,50-54,160-179,>=7,3
yes,men,non,50-54,140-159,<4,2
yes,men,non,50-54,140-159,4-4.9,2
yes,men,non,50-54,140-159,5-5.9,3
yes,men,non,50-54,140-159,6-6.9,3
yes,men,non,50-54,140-159,>=7,3
yes,men,non,50-54,120-139,<4,2
yes,men,non,50-54,120-139,4-4.9,2
yes,men,non,50-54,120-139,5-5.9,2
yes,men,non,50-54,120-139,6-6.9,2
yes,men,non,50-54,120-139,>=7,3
yes,men,non,50-54,<=120,<4,1
yes,men,non,50-54,<=120,4-4.9,2
yes,men,non,50-54,<=120,5-5.9,2
yes,men,non,50-54,<=120,6-6.9,2
yes,men,non,50-54,<=120,>=7,2
yes,men,yes,50-54,>=180,<4,4
yes,men,yes,50-54,>=180,4-4.9,4
yes,men,yes,50-54,>=180,5-5.9,5
yes,men,yes,50-54,>=180,6-6.9,5
yes,men,yes,50-54,>=180,>=7,5
yes,men,yes,50-54,160-179,<4,3
yes,men,yes,50-54,160-179,4-4.9,4
yes,men,yes,50-54,160-179,5-5.9,4
yes,men,yes,50-54,160-179,6-6.9,4
yes,men,yes,50-54,160-179,>=7,5
yes,men,yes,50-54,140-159,<4,3
yes,men,yes,50-54,140-159,4-4.9,3
yes,men,yes,50-54,140-159,5-5.9,3
yes,men,yes,50-54,140-159,6-6.9,4
yes,men,yes,50-54,140-159,>=7,4
yes,men,yes,50-54,120-139,<4,3
yes,men,yes,50-54,120-139,4-4.9,3
yes,men,yes,50-54,120-139,5-5.9,3
yes,men,yes,50-54,120-139,6-6.9,3
yes,men,yes,50-54,120-139,>=7,3
yes,men,yes,50-54,<=120,<4,2
yes,men,yes,50-54,<=120,4-4.9,2
yes,men,yes,50-54,<=120,5-5.9,3
yes,men,yes,50-54,<=120,6-6.9,3
yes,men,yes,50-54,<=120,>=7,3
yes,women,non,50-54,>=180,<4,3
yes,women,non,50-54,>=180,4-4.9,3
yes,women,non,50-54,>=180,5-5.9,3
yes,women,non,50-54,>=180,6-6.9,3
yes,women,non,50-54,>=180,>=7,3
yes,women,non,50-54,160-179,<4,2
yes,women,non,50-54,160-179,4-4.9,3
yes,women,non,50-54,160-179,5-5.9,3
yes,women,non,50-54,160-179,6-6.9,3
yes,women,non,50-54,160-179,>=7,3
yes,women,non,50-54,140-159,<4,2
yes,women,non,50-54,140-159,4-4.9,2
yes,women,non,50-54,140-159,5-5.9,2
yes,women,non,50-54,140-159,6-6.9,2
yes,women,non,50-54,140-159,>=7,3
yes,women,non,50-54,120-139,<4,2
yes,women,non,50-54,120-139,4-4.9,2
yes,women,non,50-54,120-139,5-5.9,2
yes,women,non,50-54,120-139,6-6.9,2
yes,women,non,50-54,120-139,>=7,2
yes,women,non,50-54,<=120,<4,1
yes,women,non,50-54,<=120,4-4.9,2
yes,women,non,50-54,<=120,5-5.9,2
yes,women,non,50-54,<=120,6-6.9,2
yes,women,non,50-54,<=120,>=7,2
yes,women,yes,50-54,>=180,<4,4
yes,women,yes,50-54,>=180,4-4.9,4
yes,women,yes,50-54,>=180,5-5.9,4
yes,women,yes,50-54,>=180,6-6.9,5
yes,women,yes,50-54,>=180,>=7,5
yes,women,yes,50-54,160-179,<4,3
yes,women,yes,50-54,160-179,4-4.9,4
yes,women,yes,50-54,160-179,5-5.9,4
yes,women,yes,50-54,160-179,6-6.9,4
yes,women,yes,50-54,160-179,>=7,4
yes,women,yes,50-54,140-159,<4,3
yes,women,yes,50-54,140-159,4-4.9,3
yes,women,yes,50-54,140-159,5-5.9,3
yes,women,yes,50-54,140-159,6-6.9,3
yes,women,yes,50-54,140-159,>=7,4
yes,women,yes,50-54,120-139,<4,3
yes,women,yes,50-54,120-139,4-4.9,3
yes,women,yes,50-54,120-139,5-5.9,3
yes,women,yes,50-54,120-139,6-6.9,3
yes,women,yes,50-54,120-139,>=7,3
yes,women,yes,50-54,<=120,<4,2
yes,women,yes,50-54,<=120,4-4.9,2
yes,women,yes,50-54,<=120,5-5.9,3
yes,women,yes,50-54,<=120,6-6.9,3
yes,women,yes,50-54,<=120,>=7,3
yes,men,non,45-49,>=180,<4,3
yes,men,non,45-49,>=180,4-4.9,3
yes,men,non,45-49,>=180,5-5.9,3
yes,men,non,45-49,>=180,6-6.9,3
yes,men,non,45-49,>=180,>=7,4
yes,men,non,45-49,160-179,<4,2
yes,men,non,45-49,160-179,4-4.9,3
yes,men,non,45-49,160-179,5-5.9,3
yes,men,non,45-49,160-179,6-6.9,3
yes,men,non,45-49,160-179,>=7,3
yes,men,non,45-49,140-159,<4,2
yes,men,non,45-49,140-159,4-4.9,2
yes,men,non,45-49,140-159,5-5.9,2
yes,men,non,45-49,140-159,6-6.9,3
yes,men,non,45-49,140-159,>=7,3
yes,men,non,45-49,120-139,<4,2
yes,men,non,45-49,120-139,4-4.9,2
yes,men,non,45-49,120-139,5-5.9,2
yes,men,non,45-49,120-139,6-6.9,2
yes,men,non,45-49,120-139,>=7,2
yes,men,non,45-49,<=120,<4,1
yes,men,non,45-49,<=120,4-4.9,1
yes,men,non,45-49,<=120,5-5.9,1
yes,men,non,45-49,<=120,6-6.9,2
yes,men,non,45-49,<=120,>=7,2
yes,men,yes,45-49,>=180,<4,4
yes,men,yes,45-49,>=180,4-4.9,4
yes,men,yes,45-49,>=180,5-5.9,4
yes,men,yes,45-49,>=180,6-6.9,5
yes,men,yes,45-49,>=180,>=7,5
yes,men,yes,45-49,160-179,<4,3
yes,men,yes,45-49,160-179,4-4.9,3
yes,men,yes,45-49,160-179,5-5.9,4
yes,men,yes,45-49,160-179,6-6.9,4
yes,men,yes,45-49,160-179,>=7,4
yes,men,yes,45-49,140-159,<4,3
yes,men,yes,45-49,140-159,4-4.9,3
yes,men,yes,45-49,140-159,5-5.9,3
yes,men,yes,45-49,140-159,6-6.9,3
yes,men,yes,45-49,140-159,>=7,4
yes,men,yes,45-49,120-139,<4,2
yes,men,yes,45-49,120-139,4-4.9,2
yes,men,yes,45-49,120-139,5-5.9,3
yes,men,yes,45-49,120-139,6-6.9,3
yes,men,yes,45-49,120-139,>=7,3
yes,men,yes,45-49,<=120,<4,2
yes,men,yes,45-49,<=120,4-4.9,2
yes,men,yes,45-49,<=120,5-5.9,2
yes,men,yes,45-49,<=120,6-6.9,3
yes,men,yes,45-49,<=120,>=7,3
yes,women,non,45-49,>=180,<4,3
yes,women,non,45-49,>=180,4-4.9,3
yes,women,non,45-49,>=180,5-5.9,3
yes,women,non,45-49,>=180,6-6.9,3
yes,women,non,45-49,>=180,>=7,3
yes,women,non,45-49,160-179,<4,2
yes,women,non,45-49,160-179,4-4.9,2
yes,women,non,45-49,160-179,5-5.9,2
yes,women,non,45-49,160-179,6-6.9,3
yes,women,non,45-49,160-179,>=7,3
yes,women,non,45-49,140-159,<4,2
yes,women,non,45-49,140-159,4-4.9,2
yes,women,non,45-49,140-159,5-5.9,2
yes,women,non,45-49,140-159,6-6.9,2
yes,women,non,45-49,140-159,>=7,2
yes,women,non,45-49,120-139,<4,1
yes,women,non,45-49,120-139,4-4.9,2
yes,women,non,45-49,120-139,5-5.9,2
yes,women,non,45-49,120-139,6-6.9,2
yes,women,non,45-49,120-139,>=7,2
yes,women,non,45-49,<=120,<4,1
yes,women,non,45-49,<=120,4-4.9,1
yes,women,non,45-49,<=120,5-5.9,1
yes,women,non,45-49,<=120,6-6.9,1
yes,women,non,45-49,<=120,>=7,2
yes,women,yes,45-49,>=180,<4,4
